native_id,met_monitor_id,state,cbsa,latitude,longitude,pct_available
KAST,554,OR,99999,46.1569,-123.8825,0.9986
KASX,758,WI,99999,46.54861,-90.91889,1
KATL,188,GA,12060,33.6301,-84.4418,1
KATT,639,TX,12420,30.3208,-97.7604,0.9931
KATY,613,SD,99999,44.9047,-97.1494,0.9903
KAUG,324,ME,99999,44.32056,-69.79722,1
KAUS,638,TX,12420,30.1831,-97.6799,1
KAUW,755,WI,48140,44.92583,-89.62556,1
KAVL,407,NC,11700,35.43194,-82.5375,1
KAVP,579,PA,42540,41.3336,-75.7269,1
KAVX,74,CA,31084,33.405,-118.41583,0.9944
KAZO,338,MI,28020,42.23472,-85.55194,0.9972
KBAF,302,MA,44140,42.15778,-72.71611,1
KBAZ,694,TX,41700,29.7089,-98.0458,0.9986
KBBW,444,NE,99999,41.43333,-99.63333,0.9834
KBCE,705,UT,99999,37.70639,-112.14556,1
KBDE,351,MN,99999,48.71667,-94.6,1
KBDL,126,CT,25540,41.9381,-72.6825,1
KBDR,127,CT,14860,41.15833,-73.12889,0.9945
KBED,306,MA,15764,42.47,-71.28944,1
KBFD,581,PA,99999,41.80306,-78.64028,0.9972
KBFF,447,NE,99999,41.8705,-103.593,0.9972
KBFI,726,WA,42644,47.53028,-122.30083,1
KBFL,75,CA,12540,35.4344,-119.0542,1
KBFM,18,AL,33660,30.62639,-88.06806,0.9972
KBGD,656,TX,99999,35.695,-101.395,1
KBGM,494,NY,13780,42.2068,-75.98,1
KBGR,316,ME,12620,44.7883,-68.8212,1
KBHK,395,MT,99999,46.3583,-104.25,1
KBHM,21,AL,13820,33.56556,-86.745,1
KBIH,72,CA,99999,37.3711,-118.358,1
KBIL,393,MT,13740,45.8069,-108.5422,1
KBIS,433,ND,13900,46.7825,-100.7572,1
KBIV,342,MI,99999,42.74611,-86.09667,1
KBJN,484,NV,99999,38.0511,-117.0902,0.9772
KBKB,277,LA,99999,31.15,-92.96667,1
KBKE,555,OR,99999,44.8428,-117.8086,1
KBKV,177,FL,45300,28.47361,-82.45444,0.9959
KBKW,775,WV,99999,37.78361,-81.12306,1
KBLF,774,WV,99999,37.2958,-81.2077,1
KBLH,103,CA,40140,33.6186,-114.7142,0.9862
KBLI,727,WA,13380,48.79389,-122.53722,1
KBLU,56,CA,40900,39.2774,-120.7102,1
KBMG,243,IN,14020,39.13333,-86.61667,1
KBML,458,NH,99999,44.57611,-71.17861,1
KBMQ,643,TX,99999,30.7406,-98.2354,0.9871
KBNA,635,TN,34980,36.1188,-86.6891,1
KBNO,571,OR,99999,43.595,-118.9564,1
KBOI,215,ID,14260,43.5666,-116.2405,1
KBOS,305,MA,14484,42.3606,-71.0106,1
KBPI,791,WY,99999,42.58444,-110.1075,0.9945
KBPT,696,TX,13140,29.95056,-94.02056,1
KBRD,349,MN,99999,46.40472,-94.13083,0.9959
KBRO,674,TX,15180,25.9141,-97.423,0.9986
KBTM,394,MT,99999,45.9647,-112.5006,1
KBTR,294,LA,12940,30.5372,-91.1469,1
KBTV,724,VT,15540,44.4683,-73.1499,1
